,graph_name,pythonBranchingAPC,pythonBranching_time,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
67,is_armstrong_.main,1.0**(n + 1)*n,0.20203113555908203,0.010541677474975586,0.12708282470703125,gammaTime,0.125,1.0,(-T0*x**2 + T0 - 2*x**5)/(x**2 - 1)
68,large_factorials_.main,0.0674014912557928*1.31088904491452**n,2.719045400619507,0.08527016639709473,1.8314902782440186,gammaTime,1.825,1.0,(-T0*(x**13 + x**12 + x**11 + x**10 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1) + x**3*(x**13 + x**12 + x**11 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1))/(x**13 + x**12 + x**11 + x**10 - x**9 - 3*x**8 - 2*x**7 - x**6 + 2*x**5 + x**4 + 2*x**3 - 1)
69,lcm_.lcm,0.333333333333333*1.0**n*n,0.15232205390930176,0.010034799575805664,0.07866573333740234,gammaTime,0.076,1.0,-T0 + x**3*(T0 + x**3)
70,lerp_.main,0.166666666666667*1.0**n*n,0.24328112602233887,0.02431797981262207,0.14133191108703613,gammaTime,0.139,1.0,(-T0*x**6 + T0 - x**3)/(x**6 - 1)
71,palindrome_.isPalindrome,0.5*1.0**n*n,0.17253589630126953,0.007030010223388672,0.0934145450592041,gammaTime,0.092,1.0,(-T0*x**2 + T0 - x**3)/(x**2 - 1)
72,prime_.isPrime,0.5*1.0**n*n,0.6260316371917725,0.018246173858642578,0.46395134925842285,gammaTime,0.461,1.0,(-T0*(x**3 - x**2 + x - 1) + x**3*(x**5 - x**4 + x**3 - x**2 - 1))/(x**3 - x**2 + x - 1)
73,prime_factoriziation_.int_fact,0.0487628347895028*1.32968650903901**n,2.328751564025879,0.06880450248718262,1.8278043270111084,gammaTime,1.819,1.0,(-T0*x**9 - T0*x**8 - T0*x**6 - 2*T0*x**4 + T0 - x**20 - x**19 - x**17 + x**14 + x**13 + x**12 + x**11 + 4*x**10 + 3*x**8 + x**6 - x**4 - x**2)/(x**9 + x**8 + x**6 + 2*x**4 - 1)
74,prime_sieve_.prime,0.591228844028448*1.22074408460576**n,0.6373891830444336,0.04279613494873047,0.42104148864746094,gammaTime,0.417,1.0,(-T0*(x**4 + x**3 - 1) - x**5)/(x**4 + x**3 - 1)
75,strong_number_.isStrong,0.26623006591658*1.22074408460576**n,0.62148118019104,0.0400238037109375,0.37392520904541016,gammaTime,0.371,1.0,(-T0*(x**4 + x**3 - 1) + x**3*(x**5 + x**4 + x**3 - x**2 - 1))/(x**4 + x**3 - 1)
76,even_odd_f2f_.is_even,0.333333333333333*1.0**n*n,0.17694735527038574,0.011204719543457031,0.08426666259765625,gammaTime,0.082,1.0,-T0 + x**3*(x**3*(T0 + 1) + 1)
